model_name,callsign,measure,order,aic,p,d,q
nashville_tn-pres,"Nashville, TN",pres,"1, 1, 2",2016.672745817966,1,1,2
new orleans_la-tavg,"New Orleans, LA",tavg,"0, 1, 3",1671.9359414745986,0,1,3
new orleans_la-tmin,"New Orleans, LA",tmin,"0, 1, 3",1798.9002007978997,0,1,3
new orleans_la-tmax,"New Orleans, LA",tmax,"1, 1, 3",1821.280600461349,1,1,3
new orleans_la-prcp,"New Orleans, LA",prcp,"1, 1, 1",2907.2228841746055,1,1,1
new orleans_la-wdir,"New Orleans, LA",wdir,"0, 1, 2",4331.303183179076,0,1,2
new orleans_la-wspd,"New Orleans, LA",wspd,"2, 1, 1",2250.15431885597,2,1,1
new orleans_la-pres,"New Orleans, LA",pres,"1, 1, 3",1780.0165279537637,1,1,3
new york_ny-tavg,"New York, NY",tavg,"2, 1, 1",1872.7590461438244,2,1,1
new york_ny-tmin,"New York, NY",tmin,"2, 1, 3",1825.8603831640323,2,1,3
new york_ny-tmax,"New York, NY",tmax,"2, 1, 1",2053.2521562402485,2,1,1
new york_ny-prcp,"New York, NY",prcp,"0, 0, 1",2512.7552311920476,0,0,1
new york_ny-wdir,"New York, NY",wdir,"2, 1, 3",4348.5833354030165,2,1,3
new york_ny-wspd,"New York, NY",wspd,"3, 1, 3",1874.3781355329552,3,1,3
new york_ny-pres,"New York, NY",pres,"3, 1, 2",2307.591860552934,3,1,2
norman_ok-tavg,"Norman, OK",tavg,"1, 1, 2",1965.0687361447683,1,1,2
norman_ok-tmin,"Norman, OK",tmin,"0, 1, 3",2009.676944829786,0,1,3
norman_ok-tmax,"Norman, OK",tmax,"2, 1, 2",2142.461506632187,2,1,2
norman_ok-prcp,"Norman, OK",prcp,"2, 1, 3",2540.9486816023846,2,1,3
norman_ok-wdir,"Norman, OK",wdir,"3, 1, 3",4296.865231371694,3,1,3
norman_ok-wspd,"Norman, OK",wspd,"0, 1, 2",2374.137132771823,0,1,2
norman_ok-pres,"Norman, OK",pres,"1, 1, 2",2155.8126275364757,1,1,2
north platte_ne-tavg,"North Platte, NE",tavg,"2, 1, 3",1932.2708911218758,2,1,3
north platte_ne-tmin,"North Platte, NE",tmin,"1, 1, 2",1944.4324494121097,1,1,2
north platte_ne-tmax,"North Platte, NE",tmax,"2, 1, 3",2292.3254605529637,2,1,3
north platte_ne-prcp,"North Platte, NE",prcp,"3, 1, 3",2169.3321863642204,3,1,3
north platte_ne-snow,"North Platte, NE",snow,"3, 1, 3",2876.998108118682,3,1,3
north platte_ne-wdir,"North Platte, NE",wdir,"0, 1, 2",4418.869226922088,0,1,2
north platte_ne-wspd,"North Platte, NE",wspd,"3, 0, 3",2270.3197889796693,3,0,3
north platte_ne-pres,"North Platte, NE",pres,"3, 1, 1",2304.3711215131516,3,1,1
omaha_ne-tavg,"Omaha, NE",tavg,"2, 1, 3",1976.7547025288945,2,1,3
omaha_ne-tmin,"Omaha, NE",tmin,"1, 1, 2",1940.3108031103638,1,1,2
omaha_ne-tmax,"Omaha, NE",tmax,"3, 1, 3",2250.946979577335,3,1,3
omaha_ne-prcp,"Omaha, NE",prcp,"2, 1, 3",2342.3624415693557,2,1,3
omaha_ne-snow,"Omaha, NE",snow,"0, 0, 3",2562.0846434826135,0,0,3
omaha_ne-wdir,"Omaha, NE",wdir,"0, 1, 2",4382.060921165037,0,1,2
omaha_ne-wspd,"Omaha, NE",wspd,"3, 1, 3",2246.935613638785,3,1,3
omaha_ne-pres,"Omaha, NE",pres,"1, 1, 2",2313.0819350251863,1,1,2
peachtree city_ga-tavg,"Peachtree City, GA",tavg,"1, 1, 2",1674.0344979070674,1,1,2
peachtree city_ga-tmin,"Peachtree City, GA",tmin,"0, 1, 3",1858.320260965206,0,1,3
peachtree city_ga-tmax,"Peachtree City, GA",tmax,"2, 1, 1",1864.814810239042,2,1,1
peachtree city_ga-prcp,"Peachtree City, GA",prcp,"0, 0, 1",2603.249107078898,0,0,1
peachtree city_ga-wdir,"Peachtree City, GA",wdir,"3, 1, 3",4590.892227463091,3,1,3
peachtree city_ga-wspd,"Peachtree City, GA",wspd,"3, 1, 3",2028.4628533753914,3,1,3
peachtree city_ga-pres,"Peachtree City, GA",pres,"2, 1, 3",1845.812917568382,2,1,3
pendleton_or-tavg,"Pendleton, OR",tavg,"2, 1, 1",1828.9828502243445,2,1,1
pendleton_or-tmin,"Pendleton, OR",tmin,"2, 1, 1",1852.8219507533968,2,1,1
pendleton_or-tmax,"Pendleton, OR",tmax,"2, 1, 2",2040.5483200060849,2,1,2
pendleton_or-prcp,"Pendleton, OR",prcp,"3, 1, 3",1618.67647082644,3,1,3
pendleton_or-snow,"Pendleton, OR",snow,"3, 1, 3",2839.96947798067,3,1,3
pendleton_or-wdir,"Pendleton, OR",wdir,"1, 1, 1",4354.464580570049,1,1,1
pendleton_or-wspd,"Pendleton, OR",wspd,"0, 1, 2",2304.341101578135,0,1,2
pendleton_or-pres,"Pendleton, OR",pres,"0, 1, 3",2156.419445141457,0,1,3
phoenix_az-tavg,"Phoenix, AZ",tavg,"2, 1, 1",1421.3367869506908,2,1,1
phoenix_az-tmin,"Phoenix, AZ",tmin,"2, 1, 2",1574.060756600406,2,1,2
phoenix_az-tmax,"Phoenix, AZ",tmax,"3, 1, 1",1687.3506347534508,3,1,1
phoenix_az-prcp,"Phoenix, AZ",prcp,"1, 0, 1",1837.387859754378,1,0,1
phoenix_az-wdir,"Phoenix, AZ",wdir,"2, 1, 3",4169.435163257856,2,1,3
phoenix_az-wspd,"Phoenix, AZ",wspd,"2, 1, 2",1866.601443451841,2,1,2
phoenix_az-pres,"Phoenix, AZ",pres,"1, 1, 2",1750.8644633294557,1,1,2
pittsburgh_pa-tavg,"Pittsburgh, PA",tavg,"0, 1, 3",1988.4299002016326,0,1,3
pittsburgh_pa-tmin,"Pittsburgh, PA",tmin,"3, 1, 3",2008.487942544266,3,1,3
pittsburgh_pa-tmax,"Pittsburgh, PA",tmax,"0, 1, 3",2136.233970353386,0,1,3
pittsburgh_pa-prcp,"Pittsburgh, PA",prcp,"3, 1, 3",2457.314759032357,3,1,3
pittsburgh_pa-snow,"Pittsburgh, PA",snow,"3, 1, 3",3124.032089144837,3,1,3
pittsburgh_pa-wdir,"Pittsburgh, PA",wdir,"3, 1, 3",4321.662245504087,3,1,3
pittsburgh_pa-wspd,"Pittsburgh, PA",wspd,"0, 1, 2",2230.5119746093324,0,1,2
pittsburgh_pa-pres,"Pittsburgh, PA",pres,"3, 0, 3",2200.580101064723,3,0,3
pocatello_id-tavg,"Pocatello, ID",tavg,"3, 1, 3",1873.360601963558,3,1,3
pocatello_id-tmin,"Pocatello, ID",tmin,"2, 1, 2",1993.7632002501055,2,1,2
pocatello_id-tmax,"Pocatello, ID",tmax,"3, 1, 3",2031.925073797405,3,1,3
pocatello_id-prcp,"Pocatello, ID",prcp,"2, 0, 3",1633.6178579816547,2,0,3
pocatello_id-snow,"Pocatello, ID",snow,"3, 0, 2",2824.811369973453,3,0,2
pocatello_id-wdir,"Pocatello, ID",wdir,"2, 1, 3",4418.313805149611,2,1,3
pocatello_id-wspd,"Pocatello, ID",wspd,"3, 0, 0",2484.088945522005,3,0,0
pocatello_id-pres,"Pocatello, ID",pres,"1, 1, 2",2173.920491345313,1,1,2
portland_or-tavg,"Portland, OR",tavg,"1, 1, 2",1530.6660047427242,1,1,2
portland_or-tmin,"Portland, OR",tmin,"1, 1, 1",1665.3324652750734,1,1,1
portland_or-tmax,"Portland, OR",tmax,"1, 1, 1",1903.095351021197,1,1,1
portland_or-prcp,"Portland, OR",prcp,"1, 1, 1",2267.7547622951424,1,1,1
portland_or-snow,"Portland, OR",snow,"0, 0, 3",1648.2048519713026,0,0,3
portland_or-wdir,"Portland, OR",wdir,"1, 1, 1",4203.447034456267,1,1,1
portland_or-wspd,"Portland, OR",wspd,"2, 0, 2",2010.4150440208327,2,0,2
portland_or-pres,"Portland, OR",pres,"1, 0, 3",2111.008809935268,1,0,3
pueblo_co-tavg,"Pueblo, CO",tavg,"2, 1, 3",2007.0092441999814,2,1,3
pueblo_co-tmin,"Pueblo, CO",tmin,"2, 1, 2",1960.6560470521151,2,1,2
pueblo_co-tmax,"Pueblo, CO",tmax,"1, 1, 2",2317.2314106932367,1,1,2
pueblo_co-prcp,"Pueblo, CO",prcp,"0, 1, 2",2222.809867297553,0,1,2
pueblo_co-snow,"Pueblo, CO",snow,"2, 1, 2",2683.4701144960027,2,1,2
pueblo_co-wdir,"Pueblo, CO",wdir,"0, 1, 1",4519.630345102507,0,1,1
pueblo_co-wspd,"Pueblo, CO",wspd,"2, 1, 3",2254.6162153759524,2,1,3
pueblo_co-pres,"Pueblo, CO",pres,"1, 1, 3",2282.295693934626,1,1,3
raleigh_nc-tavg,"Raleigh, NC",tavg,"0, 1, 3",1836.9072677901877,0,1,3
raleigh_nc-tmin,"Raleigh, NC",tmin,"1, 1, 2",1977.7306220320938,1,1,2
raleigh_nc-tmax,"Raleigh, NC",tmax,"2, 1, 1",2037.638727872472,2,1,1
raleigh_nc-prcp,"Raleigh, NC",prcp,"0, 0, 1",2730.293017706793,0,0,1
raleigh_nc-snow,"Raleigh, NC",snow,"0, 1, 3",1747.5970800009923,0,1,3
raleigh_nc-wdir,"Raleigh, NC",wdir,"3, 1, 3",4476.156096713039,3,1,3
raleigh_nc-wspd,"Raleigh, NC",wspd,"2, 1, 1",2137.754735300269,2,1,1
raleigh_nc-pres,"Raleigh, NC",pres,"3, 1, 1",2110.911581262348,3,1,1
rapid city_sd-tavg,"Rapid City, SD",tavg,"2, 1, 1",2086.5732814386474,2,1,1
rapid city_sd-tmin,"Rapid City, SD",tmin,"2, 1, 1",1988.0515257176698,2,1,1
rapid city_sd-tmax,"Rapid City, SD",tmax,"1, 1, 2",2359.465438377414,1,1,2
rapid city_sd-prcp,"Rapid City, SD",prcp,"0, 1, 1",2174.2025665084257,0,1,1
rapid city_sd-wdir,"Rapid City, SD",wdir,"1, 1, 1",4536.939499512917,1,1,1
rapid city_sd-wspd,"Rapid City, SD",wspd,"0, 1, 2",2612.7796650507707,0,1,2
rapid city_sd-pres,"Rapid City, SD",pres,"0, 1, 2",2307.0109214512568,0,1,2
reno_nv-tavg,"Reno, NV",tavg,"1, 1, 2",1669.7373950482008,1,1,2
reno_nv-tmin,"Reno, NV",tmin,"1, 1, 2",1825.2612822781443,1,1,2
reno_nv-tmax,"Reno, NV",tmax,"1, 1, 2",1907.3794910901129,1,1,2
reno_nv-prcp,"Reno, NV",prcp,"1, 0, 0",2070.06078641406,1,0,0
reno_nv-snow,"Reno, NV",snow,"2, 1, 3",2413.208820708384,2,1,3
reno_nv-wdir,"Reno, NV",wdir,"3, 1, 3",4433.66528826787,3,1,3
reno_nv-wspd,"Reno, NV",wspd,"3, 1, 3",2148.52471595107,3,1,3
reno_nv-pres,"Reno, NV",pres,"3, 1, 1",1941.6156669844981,3,1,1
riverton_wy-tavg,"Riverton, WY",tavg,"1, 1, 2",1991.210979426724,1,1,2
riverton_wy-tmin,"Riverton, WY",tmin,"0, 1, 3",2030.5762587615086,0,1,3
riverton_wy-tmax,"Riverton, WY",tmax,"1, 1, 2",2195.2413625551217,1,1,2
riverton_wy-prcp,"Riverton, WY",prcp,"2, 1, 3",1609.1165440572036,2,1,3
riverton_wy-wdir,"Riverton, WY",wdir,"3, 1, 3",4533.7716611040505,3,1,3
riverton_wy-wspd,"Riverton, WY",wspd,"0, 0, 1",2278.3175090722134,0,0,1
riverton_wy-pres,"Riverton, WY",pres,"1, 1, 3",2213.0026237693714,1,1,3
sacramento_ca-tavg,"Sacramento, CA",tavg,"3, 1, 3",1402.443181460186,3,1,3
sacramento_ca-tmin,"Sacramento, CA",tmin,"2, 1, 2",1594.8092593350098,2,1,2
sacramento_ca-tmax,"Sacramento, CA",tmax,"2, 1, 2",1722.5098486728068,2,1,2
sacramento_ca-prcp,"Sacramento, CA",prcp,"1, 1, 2",2508.3372207617267,1,1,2
sacramento_ca-wdir,"Sacramento, CA",wdir,"0, 1, 1",4229.482935104623,0,1,1
sacramento_ca-wspd,"Sacramento, CA",wspd,"1, 1, 1",2205.409501696687,1,1,1
sacramento_ca-pres,"Sacramento, CA",pres,"3, 1, 1",1743.6679672752816,3,1,1
salt lake city_ut-tavg,"Salt Lake City, UT",tavg,"1, 1, 2",1776.313000016941,1,1,2
salt lake city_ut-tmin,"Salt Lake City, UT",tmin,"0, 1, 3",1757.6094902243226,0,1,3
salt lake city_ut-tmax,"Salt Lake City, UT",tmax,"2, 1, 3",1994.4974892894334,2,1,3
salt lake city_ut-prcp,"Salt Lake City, UT",prcp,"3, 0, 2",1892.9533954978788,3,0,2
salt lake city_ut-snow,"Salt Lake City, UT",snow,"1, 1, 3",3053.3779472732895,1,1,3
salt lake city_ut-wdir,"Salt Lake City, UT",wdir,"0, 1, 2",4245.484584591373,0,1,2
salt lake city_ut-wspd,"Salt Lake City, UT",wspd,"3, 0, 2",2242.1755446349553,3,0,2
salt lake city_ut-pres,"Salt Lake City, UT",pres,"1, 1, 2",2117.2353076416266,1,1,2
san diego_ca-tavg,"San Diego, CA",tavg,"2, 1, 1",1188.9623582623979,2,1,1
san diego_ca-tmin,"San Diego, CA",tmin,"1, 1, 2",1397.3316276884566,1,1,2
san diego_ca-tmax,"San Diego, CA",tmax,"1, 1, 2",1748.7462415117866,1,1,2
san diego_ca-prcp,"San Diego, CA",prcp,"3, 1, 3",1640.7566432035817,3,1,3
san diego_ca-wdir,"San Diego, CA",wdir,"2, 1, 2",3844.4697252518954,2,1,2
san diego_ca-wspd,"San Diego, CA",wspd,"3, 1, 3",1527.814455889885,3,1,3
san diego_ca-pres,"San Diego, CA",pres,"3, 1, 2",1501.178296326154,3,1,2
shreveport_la-tavg,"Shreveport, LA",tavg,"2, 1, 3",1854.8222179586132,2,1,3
shreveport_la-tmin,"Shreveport, LA",tmin,"2, 1, 3",1953.7560443905672,2,1,3
shreveport_la-tmax,"Shreveport, LA",tmax,"2, 1, 1",1984.3169867628724,2,1,1
shreveport_la-prcp,"Shreveport, LA",prcp,"2, 1, 1",2680.5462033129643,2,1,1
shreveport_la-wdir,"Shreveport, LA",wdir,"2, 1, 2",4348.683552543075,2,1,2
shreveport_la-wspd,"Shreveport, LA",wspd,"2, 1, 1",2086.825105437525,2,1,1
shreveport_la-pres,"Shreveport, LA",pres,"1, 1, 3",1947.6014106913608,1,1,3
sioux falls_sd-tavg,"Sioux Falls, SD",tavg,"2, 1, 3",2059.8236068538677,2,1,3
sioux falls_sd-tmin,"Sioux Falls, SD",tmin,"2, 1, 1",2032.444374463632,2,1,1
sioux falls_sd-tmax,"Sioux Falls, SD",tmax,"2, 1, 2",2273.4570715027107,2,1,2
sioux falls_sd-prcp,"Sioux Falls, SD",prcp,"0, 1, 1",2430.3102378214708,0,1,1
sioux falls_sd-snow,"Sioux Falls, SD",snow,"1, 1, 1",3011.8315119828876,1,1,1
sioux falls_sd-wdir,"Sioux Falls, SD",wdir,"0, 1, 2",4447.009967952134,0,1,2
sioux falls_sd-wspd,"Sioux Falls, SD",wspd,"3, 1, 3",2368.7770894249206,3,1,3
sioux falls_sd-pres,"Sioux Falls, SD",pres,"1, 1, 2",2347.1092144284303,1,1,2
spokane_wa-tavg,"Spokane, WA",tavg,"1, 1, 2",1665.3348772303825,1,1,2
spokane_wa-tmin,"Spokane, WA",tmin,"2, 1, 1",1758.4409222427694,2,1,1
spokane_wa-tmax,"Spokane, WA",tmax,"3, 1, 3",1918.643447958243,3,1,3
spokane_wa-prcp,"Spokane, WA",prcp,"1, 1, 1",1708.9325851763651,1,1,1
spokane_wa-snow,"Spokane, WA",snow,"3, 0, 2",2875.60935869469,3,0,2
spokane_wa-wdir,"Spokane, WA",wdir,"0, 1, 2",4304.329960147501,0,1,2
spokane_wa-wspd,"Spokane, WA",wspd,"0, 1, 2",2258.4691411876215,0,1,2
spokane_wa-pres,"Spokane, WA",pres,"3, 1, 3",2228.6532076667236,3,1,3
springfield_mo-tavg,"Springfield, MO",tavg,"1, 1, 2",1935.353519377957,1,1,2
springfield_mo-tmin,"Springfield, MO",tmin,"0, 1, 3",2008.1235659820354,0,1,3
springfield_mo-tmax,"Springfield, MO",tmax,"0, 1, 3",2173.574181984532,0,1,3
springfield_mo-prcp,"Springfield, MO",prcp,"0, 1, 1",2558.386139804643,0,1,1
springfield_mo-snow,"Springfield, MO",snow,"3, 1, 2",2629.8169518309724,3,1,2
springfield_mo-wdir,"Springfield, MO",wdir,"1, 1, 1",4326.114983568603,1,1,1
springfield_mo-wspd,"Springfield, MO",wspd,"0, 1, 2",2237.6972334822567,0,1,2
springfield_mo-pres,"Springfield, MO",pres,"1, 1, 2",2140.1527917179037,1,1,2
st. louis_mo-tavg,"St. Louis, MO",tavg,"1, 1, 2",1979.4547032976561,1,1,2
st. louis_mo-tmin,"St. Louis, MO",tmin,"2, 1, 2",2032.6623201418597,2,1,2
st. louis_mo-tmax,"St. Louis, MO",tmax,"0, 1, 3",2176.3981136754333,0,1,3
st. louis_mo-prcp,"St. Louis, MO",prcp,"3, 0, 2",2499.425986868526,3,0,2
st. louis_mo-wdir,"St. Louis, MO",wdir,"1, 1, 1",4487.290863093074,1,1,1
st. louis_mo-wspd,"St. Louis, MO",wspd,"0, 1, 2",2106.421873093231,0,1,2
st. louis_mo-pres,"St. Louis, MO",pres,"1, 1, 2",2183.392534763916,1,1,2
state college_pa-tavg,"State College, PA",tavg,"0, 1, 3",1891.9175073723118,0,1,3
state college_pa-tmin,"State College, PA",tmin,"0, 1, 3",1931.1388055527111,0,1,3
state college_pa-tmax,"State College, PA",tmax,"0, 1, 3",2103.3006464036375,0,1,3
state college_pa-prcp,"State College, PA",prcp,"0, 0, 1",2582.162678946669,0,0,1
state college_pa-wdir,"State College, PA",wdir,"3, 1, 3",4333.248227834789,3,1,3
state college_pa-wspd,"State College, PA",wspd,"3, 1, 3",2186.6628387306064,3,1,3
state college_pa-pres,"State College, PA",pres,"3, 0, 1",2213.1824880286376,3,0,1
tallahassee_fl-tavg,"Tallahassee, FL",tavg,"1, 1, 2",1635.462636390485,1,1,2
tallahassee_fl-tmin,"Tallahassee, FL",tmin,"3, 1, 3",1877.3169702487567,3,1,3
tallahassee_fl-tmax,"Tallahassee, FL",tmax,"2, 1, 1",1795.2930044584593,2,1,1
tallahassee_fl-prcp,"Tallahassee, FL",prcp,"0, 0, 1",2631.083655386363,0,0,1
tallahassee_fl-wdir,"Tallahassee, FL",wdir,"1, 1, 2",4555.800301954807,1,1,2
tallahassee_fl-wspd,"Tallahassee, FL",wspd,"0, 1, 2",2010.6476441302548,0,1,2
tallahassee_fl-pres,"Tallahassee, FL",pres,"3, 1, 2",1691.0547001215953,3,1,2
tampa_fl-tavg,"Tampa, FL",tavg,"3, 1, 2",1377.01367481796,3,1,2
tampa_fl-tmin,"Tampa, FL",tmin,"3, 1, 2",1594.3367623668903,3,1,2
tampa_fl-tmax,"Tampa, FL",tmax,"2, 1, 1",1566.0435529528795,2,1,1
tampa_fl-prcp,"Tampa, FL",prcp,"0, 1, 2",2521.042606530733,0,1,2
tampa_fl-wdir,"Tampa, FL",wdir,"3, 0, 3",4377.927587864733,3,0,3
tampa_fl-wspd,"Tampa, FL",wspd,"2, 1, 3",1846.8307253023977,2,1,3
tampa_fl-pres,"Tampa, FL",pres,"1, 1, 3",1470.8318618555984,1,1,3
topeka_ks-tavg,"Topeka, KS",tavg,"1, 1, 2",2029.1743303076223,1,1,2
topeka_ks-tmin,"Topeka, KS",tmin,"3, 2, 2",1988.9479244914155,3,2,2
topeka_ks-tmax,"Topeka, KS",tmax,"1, 1, 2",2248.191858346895,1,1,2
topeka_ks-prcp,"Topeka, KS",prcp,"0, 1, 2",2470.601350200866,0,1,2
topeka_ks-snow,"Topeka, KS",snow,"0, 1, 3",2819.5611761000373,0,1,3
topeka_ks-wdir,"Topeka, KS",wdir,"1, 1, 3",4429.871508300774,1,1,3
topeka_ks-wspd,"Topeka, KS",wspd,"1, 1, 1",2262.526915469971,1,1,1
topeka_ks-pres,"Topeka, KS",pres,"1, 1, 2",2290.4310144863334,1,1,2
tucson_az-tavg,"Tucson, AZ",tavg,"3, 1, 3",1565.261414937173,3,1,3
tucson_az-tmin,"Tucson, AZ",tmin,"3, 1, 3",1663.6722109115562,3,1,3
tucson_az-tmax,"Tucson, AZ",tmax,"1, 1, 2",1737.47771705844,1,1,2
tucson_az-prcp,"Tucson, AZ",prcp,"3, 0, 1",2112.6567008321545,3,0,1
tucson_az-wdir,"Tucson, AZ",wdir,"0, 1, 2",4125.3682098370045,0,1,2
tucson_az-wspd,"Tucson, AZ",wspd,"2, 1, 1",1926.0635060455675,2,1,1
tucson_az-pres,"Tucson, AZ",pres,"0, 1, 3",1682.5301997685956,0,1,3
tulsa_ok-tavg,"Tulsa, OK",tavg,"1, 1, 2",1926.0930815920506,1,1,2
tulsa_ok-tmin,"Tulsa, OK",tmin,"0, 1, 3",2035.7716063013977,0,1,3
tulsa_ok-tmax,"Tulsa, OK",tmax,"2, 1, 1",2110.2493322802366,2,1,1
tulsa_ok-prcp,"Tulsa, OK",prcp,"1, 1, 1",2518.00412995184,1,1,1
tulsa_ok-snow,"Tulsa, OK",snow,"3, 0, 3",2547.171578696214,3,0,3
tulsa_ok-wdir,"Tulsa, OK",wdir,"2, 1, 3",4346.672051206247,2,1,3
tulsa_ok-wspd,"Tulsa, OK",wspd,"3, 0, 2",2254.568545564081,3,0,2
tulsa_ok-pres,"Tulsa, OK",pres,"1, 1, 2",2184.845102998775,1,1,2
wakefield_va-tavg,"Wakefield, VA",tavg,"0, 1, 3",1905.695287804857,0,1,3
wakefield_va-tmin,"Wakefield, VA",tmin,"0, 1, 3",2049.5899375424756,0,1,3
wakefield_va-tmax,"Wakefield, VA",tmax,"2, 1, 3",2053.6121583475388,2,1,3
wakefield_va-prcp,"Wakefield, VA",prcp,"2, 1, 3",2558.785667247283,2,1,3
wakefield_va-wdir,"Wakefield, VA",wdir,"1, 1, 1",4569.212504948511,1,1,1
wakefield_va-wspd,"Wakefield, VA",wspd,"1, 1, 2",1827.7411879614287,1,1,2
wakefield_va-pres,"Wakefield, VA",pres,"3, 1, 1",2189.6318929686295,3,1,1
wichita_ks-tavg,"Wichita, KS",tavg,"2, 1, 3",1956.993655966257,2,1,3
wichita_ks-tmin,"Wichita, KS",tmin,"3, 2, 2",1916.0227899885945,3,2,2
wichita_ks-tmax,"Wichita, KS",tmax,"2, 1, 1",2201.9535769153,2,1,1
wichita_ks-prcp,"Wichita, KS",prcp,"0, 0, 1",2320.853159661329,0,0,1
wichita_ks-snow,"Wichita, KS",snow,"3, 0, 3",2621.2885980730275,3,0,3
wichita_ks-wdir,"Wichita, KS",wdir,"3, 1, 3",4295.802697534491,3,1,3
wichita_ks-wspd,"Wichita, KS",wspd,"3, 1, 3",2400.5368163479516,3,1,3
wichita_ks-pres,"Wichita, KS",pres,"1, 1, 2",2278.9895950727805,1,1,2
wilmington_nc-tavg,"Wilmington, NC",tavg,"0, 1, 3",1822.7470849429133,0,1,3
wilmington_nc-tmin,"Wilmington, NC",tmin,"0, 1, 3",1932.706995230947,0,1,3
wilmington_nc-tmax,"Wilmington, NC",tmax,"2, 1, 1",1978.4386736000602,2,1,1
wilmington_nc-prcp,"Wilmington, NC",prcp,"3, 1, 3",2818.0157383446967,3,1,3
wilmington_nc-wdir,"Wilmington, NC",wdir,"1, 1, 1",4383.608287003411,1,1,1
wilmington_nc-wspd,"Wilmington, NC",wspd,"0, 1, 2",2172.7379701628356,0,1,2
wilmington_nc-pres,"Wilmington, NC",pres,"3, 1, 3",2060.9986317536172,3,1,3
